,Width##SECTION_PROPERTY##INCHES,Height##SECTION_PROPERTY##INCHES,Flange Thickness##SECTION_PROPERTY##INCHES,Web Thickness##SECTION_PROPERTY##INCHES,Web Fillet##SECTION_PROPERTY##INCHES,Centroid Vertical##SECTION_PROPERTY##INCHES,Section Area##SECTION_AREA##SQUARE_INCHES,Nominal Weight##WEIGHT_PER_UNIT_LENGTH##POUNDS_FORCE_PER_FOOT,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Torsional Moment of Inertia##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Warping Constant##WARPING_CONSTANT##INCHES_TO_THE_SIXTH_POWER,Bolt Spacing##SECTION_DIMENSION##INCHES,Section Name Key##other##
WT13.5X140.5,14.4,14.6,1.93,1.06,0.79,11.25,41.5,140.5,677,477,59.9,66.4,109,103,39.6,232,5.5,WT13.5X140.5
WT13.5X129,14.3,14.5,1.77,0.98,0.79,11.23,38.1,129,613,430,54.7,60.2,98.9,93.3,30.7,178,5.5,WT13.5X129
WT13.5X117.5,14.2,14.3,1.61,0.91,0.79,11.1,34.7,117.5,556,384,50,54.2,89.9,83.8,23.4,135,5.5,WT13.5X117.5
WT13.5X108.5,14.1,14.2,1.5,0.83,0.79,11.1,32,108.5,502,352,45.2,49.9,81.1,77,18.8,105,5.5,WT13.5X108.5
WT13.5X97,14,14.1,1.34,0.75,0.79,11.08,28.6,97,444,309,40.3,44.1,71.8,67.8,13.5,74.3,5.5,WT13.5X97
WT13.5X89,14.1,13.9,1.19,0.725,0.79,10.86,26.3,89,414,278,38.2,39.4,67.7,60.8,10,57.7,5.5,WT13.5X89
WT13.5X80.5,14,13.8,1.08,0.66,0.79,10.82,23.8,80.5,372,248,34.4,35.4,60.8,54.5,7.53,42.7,5.5,WT13.5X80.5
WT13.5X73,14,13.7,0.975,0.605,0.785,10.76,21.6,73,336,222,31.2,31.7,55,48.8,5.62,31.7,5.5,WT13.5X73
WT13.5X64.5,10,13.8,1.1,0.61,0.6,10.41,18.9,64.5,323,92.2,31,18.4,55.1,28.8,5.55,24,5.5,WT13.5X64.5
WT13.5X57,10.1,13.6,0.93,0.57,0.6,10.18,16.8,57,289,79.3,28.3,15.8,50.4,24.6,3.65,17.5,5.5,WT13.5X57
