,Diameter##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RB 7 1/4,7.25,22.765,41.262,135.619,135.619,37.412,37.412,63.513,63.513,RB 7 1/4
RB 7 1/8,7.125,22.373,39.851,126.505,126.505,35.51,35.51,60.284,60.284,RB 7 1/8
RB 7 11/16,7.6875,24.139,46.392,171.439,171.439,44.602,44.602,75.719,75.719,RB 7 11/16
RB 7 13/16,7.8125,24.531,47.913,182.865,182.865,46.813,46.813,79.473,79.473,RB 7 13/16
RB 7 15/16,7.9375,24.924,49.458,194.852,194.852,49.097,49.097,83.349,83.349,RB 7 15/16
RB 7 3/16,7.1875,22.569,40.553,131.003,131.003,36.453,36.453,61.885,61.885,RB 7 3/16
RB 7 3/4,7.75,24.335,47.149,177.083,177.083,45.699,45.699,77.581,77.581,RB 7 3/4
RB 7 3/8,7.375,23.158,42.697,145.217,145.217,39.381,39.381,66.855,66.855,RB 7 3/8
RB 7 5/16,7.3125,22.961,41.976,140.357,140.357,38.388,38.388,65.17,65.17,RB 7 5/16
RB 7 5/8,7.625,23.943,45.64,165.932,165.932,43.523,43.523,73.887,73.887,RB 7 5/8
RB 7 7/16,7.4375,23.354,43.423,150.203,150.203,40.391,40.391,68.569,68.569,RB 7 7/16
RB 7 7/8,7.875,24.728,48.682,188.787,188.787,47.946,47.946,81.395,81.395,RB 7 7/8
RB 7 9/16,7.5625,23.746,44.895,160.558,160.558,42.462,42.462,72.085,72.085,RB 7 9/16
RB 7/16,0.4375,1.374,0.15,0.002,0.002,0.008,0.008,0.014,0.014,RB 7/16
RB 7/8,0.875,2.748,0.601,0.029,0.029,0.066,0.066,0.112,0.112,RB 7/8
RB 8,8,25.12,50.24,201.062,201.062,50.266,50.266,85.333,85.333,RB 8
RB 8 1/16,8.0625,25.316,51.028,207.419,207.419,51.453,51.453,87.349,87.349,RB 8 1/16
RB 8 1/2,8.5,26.69,56.716,256.239,256.239,60.292,60.292,102.354,102.354,RB 8 1/2
RB 8 1/4,8.25,25.905,53.429,227.398,227.398,55.127,55.127,93.586,93.586,RB 8 1/4
