,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##Surface_Area##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
RV 1 7/8,1.875,1.875,7.5,3.516,1.03,1.03,1.099,1.099,1.648,1.648,RV 1 7/8
RV 1 9/16,1.5625,1.5625,6.25,2.441,0.497,0.497,0.636,0.636,0.954,0.954,RV 1 9/16
RV 1/16,0.0625,0.0625,0.25,0.004,0,0,0,0,0,0,RV 1/16
RV 1/2,0.5,0.5,2,0.25,0.005,0.005,0.021,0.021,0.031,0.031,RV 1/2
RV 1/4,0.25,0.25,1,0.063,0,0,0.003,0.003,0.004,0.004,RV 1/4
RV 1/8,0.125,0.125,0.5,0.016,0,0,0,0,0,0,RV 1/8
RV 10,10,10,40,100,833.333,833.333,166.667,166.667,250,250,RV 10
RV 10 1/16,10.0625,10.0625,40.25,101.254,854.363,854.363,169.811,169.811,254.717,254.717,RV 10 1/16
RV 10 1/2,10.5,10.5,42,110.25,1012.922,1012.922,192.937,192.937,289.406,289.406,RV 10 1/2
RV 10 1/4,10.25,10.25,41,105.063,919.844,919.844,179.482,179.482,269.223,269.223,RV 10 1/4
RV 10 1/8,10.125,10.125,40.5,102.516,875.788,875.788,172.995,172.995,259.493,259.493,RV 10 1/8
RV 10 11/16,10.6875,10.6875,42.75,114.223,1087.235,1087.235,203.459,203.459,305.189,305.189,RV 10 11/16
RV 10 13/16,10.8125,10.8125,43.25,116.91,1138.999,1138.999,210.682,210.682,316.023,316.023,RV 10 13/16
RV 10 15/16,10.9375,10.9375,43.75,119.629,1192.59,1192.59,218.074,218.074,327.11,327.11,RV 10 15/16
RV 10 3/16,10.1875,10.1875,40.75,103.785,897.613,897.613,176.219,176.219,264.328,264.328,RV 10 3/16
RV 10 3/4,10.75,10.75,43,115.563,1112.891,1112.891,207.049,207.049,310.574,310.574,RV 10 3/4
RV 10 3/8,10.375,10.375,41.5,107.641,965.542,965.542,186.129,186.129,279.193,279.193,RV 10 3/8
RV 10 5/16,10.3125,10.3125,41.25,106.348,942.485,942.485,182.785,182.785,274.178,274.178,RV 10 5/16
RV 10 5/8,10.625,10.625,42.5,112.891,1062.024,1062.024,199.91,199.91,299.866,299.866,RV 10 5/8
RV 10 7/16,10.4375,10.4375,41.75,108.941,989.019,989.019,189.513,189.513,284.269,284.269,RV 10 7/16
RV 10 7/8,10.875,10.875,43.5,118.266,1165.563,1165.563,214.356,214.356,321.535,321.535,RV 10 7/8
RV 10 9/16,10.5625,10.5625,42.25,111.566,1037.255,1037.255,196.403,196.403,294.605,294.605,RV 10 9/16
RV 11,11,11,44,121,1220.083,1220.083,221.833,221.833,332.75,332.75,RV 11
RV 11 1/16,11.0625,11.0625,44.25,122.379,1248.05,1248.05,225.636,225.636,338.454,338.454,RV 11 1/16
RV 11 1/2,11.5,11.5,46,132.25,1457.505,1457.505,253.479,253.479,380.219,380.219,RV 11 1/2
RV 11 1/4,11.25,11.25,45,126.563,1334.839,1334.839,237.305,237.305,355.957,355.957,RV 11 1/4
RV 11 1/8,11.125,11.125,44.5,123.766,1276.494,1276.494,229.482,229.482,344.223,344.223,RV 11 1/8
RV 11 11/16,11.6875,11.6875,46.75,136.598,1554.91,1554.91,266.081,266.081,399.121,399.121,RV 11 11/16
